market_family,total_rows,model_generated_pct,heuristic_pct,manual_pct,unknown_pct,unsupported_pct
1h_spread,22,0,100,0,0,0
1h_total_ou,59,0,100,0,0,0
1i_total_ou,18,0,100,0,0,0
1q_spread,10,0,100,0,0,0
1q_total_ou,29,0,100,0,0,0
2h_spread,8,0,100,0,0,0
2h_total_ou,14,0,100,0,0,0
2q_spread,8,0,100,0,0,0
2q_total_ou,15,0,100,0,0,0
3q_spread,8,0,100,0,0,0
3q_total_ou,15,0,100,0,0,0
4q_spread,8,0,100,0,0,0
4q_total_ou,17,0,100,0,0,0
f3_spread,16,0,100,0,0,0
f3_total_ou,28,0,100,0,0,0
f5_spread,18,0,100,0,0,0
f5_total_ou,38,0,100,0,0,0
f7_spread,7,0,100,0,0,0
f7_total_ou,17,0,100,0,0,0
game_total_ou,68,0,41.18,58.82,0,0
moneyline,166,0,98.8,1.2,0,0
NBA player points,7,0,0,100,0,100
player_3pm_ou,132,0,100,0,0,0
player_assists_ou,267,0,85.77,14.23,0,0
player_batting_doubles_ou,130,0,77.69,22.31,0,0
player_batting_hits_ou,234,0,71.79,28.21,0,0
player_batting_home_runs_ou,112,0,100,0,0,0
player_batting_hrr_ou,141,0,100,0,0,0
player_batting_rbi_ou,137,0,100,0,0,0
player_batting_singles_ou,160,0,73.75,26.25,0,0
player_batting_stolen_bases_ou,101,0,100,0,0,0
player_batting_strikeouts_ou,85,0,91.76,8.24,0,0
player_batting_total_bases_ou,148,0,75.68,24.32,0,0
player_batting_triples_ou,77,0,100,0,0,0
player_batting_walks_ou,205,0,66.34,33.66,0,0
player_blocked_shots_ou,11,0,100,0,0,0
player_blocks_ou,160,0,98.13,1.88,0,0
player_goals_ou,54,0,100,0,0,0
player_hockey_points_ou,58,0,100,0,0,0
player_pitching_earned_runs_ou,13,0,100,0,0,0
player_pitching_hits_allowed_ou,10,0,100,0,0,0
player_pitching_outs_ou,10,0,100,0,0,0
player_pitching_pitches_thrown_ou,3,0,100,0,0,0
player_pitching_strikeouts_ou,16,0,62.5,37.5,0,0
player_pitching_walks_ou,7,0,100,0,0,0
player_points_ou,259,0,84.94,15.06,0,0
player_pra_ou,205,0,100,0,0,0
player_pts_asts_ou,148,0,100,0,0,0
player_pts_rebs_ou,152,0,100,0,0,0
player_rebounds_ou,178,0,88.2,11.8,0,0
player_rebs_asts_ou,137,0,100,0,0,0
player_shots_ou,52,0,100,0,0,0
player_steals_ou,136,0,98.53,1.47,0,0
player_threes_ou,1,0,0,100,0,100
player_turnovers_ou,41,0,100,0,0,0
powerPlay_goals+assists-all-game-ou,2,0,0,0,0,0
spread,15,0,100,0,0,0
test,1,0,0,100,0,100
totals,3,0,0,100,0,100
twoPointersMade-all-game-ou,5,0,0,100,0,0
