market_family,total_rows,trusted_pass,supported_market_pct,clv_backed_pct,settlement_valid_pct
1h_spread,22,0,100,0,0
1h_total_ou,59,0,100,0,0
1i_total_ou,18,0,100,0,0
1q_spread,10,0,100,0,0
1q_total_ou,29,0,100,0,0
2h_spread,8,0,100,0,0
2h_total_ou,14,0,100,0,0
2q_spread,8,0,0,0,0
2q_total_ou,15,0,0,0,0
3q_spread,8,0,100,0,0
3q_total_ou,15,0,100,0,0
4q_spread,8,0,0,0,0
4q_total_ou,17,0,100,0,0
f3_spread,16,0,100,0,0
f3_total_ou,28,0,100,0,0
f5_spread,18,0,100,0,0
f5_total_ou,38,0,100,0,0
f7_spread,7,0,100,0,0
f7_total_ou,17,0,100,0,0
game_total_ou,68,0,100,0,58.82
moneyline,165,0,100,0,0.61
NBA player points,7,0,0,0,0
player_3pm_ou,132,0,100,0,0
player_assists_ou,264,0,100,0,11.74
player_batting_doubles_ou,130,0,100,0,23.08
player_batting_hits_ou,234,0,100,0,28.21
player_batting_home_runs_ou,111,0,100,0,0
player_batting_hrr_ou,141,0,100,0,0
player_batting_rbi_ou,137,0,100,0,0
player_batting_singles_ou,159,0,100,0,26.42
player_batting_stolen_bases_ou,100,0,100,0,0
player_batting_strikeouts_ou,84,0,100,0,8.33
player_batting_total_bases_ou,148,0,100,0,24.32
player_batting_triples_ou,76,0,100,0,0
player_batting_walks_ou,205,0,100,0,33.66
player_blocked_shots_ou,10,0,100,0,0
player_blocks_ou,160,0,100,0,1.88
player_goals_ou,51,0,100,0,0
player_hockey_points_ou,57,0,100,0,1.75
player_pitching_earned_runs_ou,13,0,100,0,0
player_pitching_hits_allowed_ou,10,0,100,0,0
player_pitching_outs_ou,10,0,100,0,0
player_pitching_pitches_thrown_ou,3,0,100,0,0
player_pitching_strikeouts_ou,16,0,100,0,37.5
player_pitching_walks_ou,7,0,100,0,0
player_points_ou,259,0,100,0,11.97
player_pra_ou,203,0,100,0,0
player_pts_asts_ou,147,0,100,0,0
player_pts_rebs_ou,152,0,100,0,0
player_rebounds_ou,178,0,100,0,10.67
player_rebs_asts_ou,137,0,100,0,0
player_shots_ou,50,0,100,0,0
player_steals_ou,136,0,100,0,1.47
player_threes_ou,1,0,0,0,0
player_turnovers_ou,41,0,100,0,0
powerPlay_goals+assists-all-game-ou,2,0,100,0,50
spread,15,0,100,0,0
test,1,0,0,0,0
totals,3,0,0,0,100
twoPointersMade-all-game-ou,5,0,100,0,100
